Time,Open,High,Low,Last,Change,%Chg,Volume,"Open Int"
04/22/2015,68.19,68.19,68.19,68.19,0.33,+0.49%,610700,1705247
04/21/2015,67.86,67.86,67.86,67.86,0.53,+0.79%,615875,1720956
04/20/2015,67.33,67.33,67.33,67.33,0.69,+1.04%,727218,1731056
04/17/2015,66.64,66.64,66.64,66.64,-0.42,-0.63%,790785,1757034
04/16/2015,67.06,67.06,67.06,67.06,0.22,+0.33%,1029520,1765249
04/15/2015,66.84,66.84,66.84,66.84,0.87,+1.32%,1367476,1782273
04/14/2015,65.97,65.97,65.97,65.97,0.14,+0.21%,992133,1774773
04/13/2015,65.83,65.83,65.83,65.83,-0.33,-0.50%,788497,1739207
04/10/2015,66.16,66.16,66.16,66.16,0.47,+0.72%,862249,1725047
04/09/2015,65.69,65.69,65.69,65.69,1.32,+2.05%,953792,1710708
04/08/2015,64.37,64.37,64.37,64.37,-1.1,-1.68%,1136045,1708753
04/07/2015,65.47,65.47,65.47,65.47,-1.28,-1.92%,1250731,1743733
04/06/2015,66.75,66.75,66.75,66.75,0.14,+0.21%,639105,1740489
04/02/2015,66.61,66.61,66.61,66.61,-0.69,-1.03%,815354,1722892
04/01/2015,67.3,67.3,67.3,67.3,0.51,+0.76%,853249,1743098
03/31/2015,66.79,66.79,66.79,66.79,-0.56,-0.83%,657896,1740134
03/30/2015,67.35,67.35,67.35,67.35,0.59,+0.88%,583742,1735387
03/27/2015,66.76,66.76,66.76,66.76,-1.44,-2.11%,645061,1735225
03/26/2015,68.2,68.2,68.2,68.2,-0.18,-0.26%,1004482,1748613
03/25/2015,68.38,68.38,68.38,68.38,-0.01,-0.01%,702989,1753953
03/24/2015,68.39,68.39,68.39,68.39,-0.67,-0.97%,560078,1748067
03/23/2015,69.06,69.06,69.06,69.06,0.18,+0.26%,484190,1751273
03/20/2015,68.88,68.88,68.88,68.88,0.53,+0.78%,636555,1742733
03/19/2015,68.35,68.35,68.35,68.35,-0.85,-1.23%,731792,1761708
03/18/2015,69.2,69.2,69.2,69.2,1.27,+1.87%,1035393,1774842
03/17/2015,67.93,67.93,67.93,67.93,-0.69,-1.01%,906082,1760721
03/16/2015,68.62,68.62,68.62,68.62,0.54,+0.79%,858741,1776486
03/13/2015,68.08,68.08,68.08,68.08,-0.4,-0.58%,941445,1751291
03/12/2015,68.48,68.48,68.48,68.48,-0.52,-0.75%,855293,1704667
03/11/2015,69,69,69,69,0.2,+0.29%,947032,1678276
03/10/2015,68.8,68.8,68.79,68.8,-0.52,-0.75%,843345,1670894
03/09/2015,69.32,69.32,69.32,69.32,-0.52,-0.74%,922761,1673612
03/06/2015,69.84,69.84,69.84,69.84,-0.72,-1.02%,843005,1674876
03/05/2015,70.56,70.56,70.56,70.56,-0.5,-0.70%,848730,1689675
