name,ttm,12/18/2020,11/30/2020,11/27/2020,11/19/2020,10/30/2020,10/26/2020,10/16/2020,09/30/2020,09/24/2020,09/10/2020,08/31/2020,08/27/2020,08/14/2020,08/12/2020,07/31/2020,07/20/2020,07/14/2020,06/30/2020,06/04/2020,05/29/2020,05/07/2020,04/30/2020,03/31/2020,02/28/2020,01/31/2020,12/31/2019,11/29/2019,10/31/2019,09/30/2019,08/30/2019,07/31/2019,06/28/2019,05/31/2019,04/30/2019,03/29/2019,02/28/2019,01/31/2019,12/31/2018,11/30/2018,10/31/2018,09/28/2018,08/31/2018,07/31/2018,06/29/2018,05/31/2018,04/30/2018,03/30/2018,02/28/2018,01/31/2018,12/29/2017,11/30/2017,10/31/2017,09/29/2017,08/31/2017,07/31/2017,06/30/2017,05/31/2017,04/28/2017,03/31/2017,02/28/2017,01/31/2017,12/30/2016,11/30/2016,10/31/2016,09/30/2016,08/31/2016,07/29/2016,06/30/2016,05/31/2016,04/29/2016,03/31/2016,02/29/2016,01/29/2016,12/31/2015,11/30/2015,10/30/2015,09/30/2015,08/31/2015,07/31/2015,06/30/2015,05/29/2015,04/30/2015,03/31/2015,02/27/2015,01/30/2015,12/31/2014,11/28/2014,10/31/2014,09/30/2014,08/29/2014,07/31/2014,06/30/2014,05/30/2014,04/30/2014,03/31/2014,02/28/2014,01/31/2014,12/31/2013,11/29/2013,10/31/2013,09/30/2013,08/30/2013,07/31/2013,06/28/2013,05/31/2013,04/30/2013,03/29/2013,02/28/2013,01/31/2013,12/31/2012,11/30/2012,10/31/2012,09/28/2012,08/31/2012,07/31/2012,06/29/2012,05/31/2012,04/30/2012,03/30/2012,02/29/2012,01/31/2012,12/30/2011,11/30/2011,10/31/2011,09/30/2011,08/31/2011,07/29/2011,06/30/2011,05/31/2011,04/29/2011,03/31/2011,02/28/2011,01/31/2011,12/31/2010,11/30/2010,10/29/2010,09/30/2010,08/31/2010,07/30/2010,06/30/2010
MarketCap,"658,791,009,435","658,791,009,435","538,028,456,050","555,242,333,362","473,258,398,964","367,823,400,433","398,383,720,065","410,449,591,155","406,701,480,000","362,017,528,951","346,660,793,730","465,201,720,073","417,217,314,082","307,629,164,725","289,747,757,115","266,638,903,091","304,736,231,713","281,329,224,748","200,844,660,000","160,321,304,910","154,872,034,985","144,596,876,744","144,937,959,577","96,940,000,000","123,170,065,557","117,753,170,000","75,717,730,000","59,469,988,448","56,762,710,681","43,356,600,000","40,412,896,390","43,278,932,214","39,818,028,801","32,993,404,694","41,470,055,021","48,337,835,351","55,250,149,261","52,992,573,060","57,442,278,400","60,188,902,982","57,928,899,663","45,167,946,736","51,461,127,819","50,860,639,952","58,230,744,270","48,345,355,930","49,902,364,021","44,954,663,898","57,949,674,959","59,806,465,070","52,327,783,433","51,907,614,945","55,719,383,464","56,925,163,545","59,395,091,485","53,982,945,329","60,339,329,430","56,014,212,573","51,568,389,165","45,686,841,200","40,415,990,295","40,729,630,926","34,423,044,089","30,510,199,590","29,637,984,998","30,568,794,750","31,524,319,186","34,911,536,727","31,420,624,200","29,900,457,969","32,248,507,192","30,756,552,660","25,345,572,952","25,128,460,000","31,543,314,250","30,152,850,712","27,097,756,440","32,515,808,400","31,666,023,131","33,838,882,424","34,096,100,042","31,702,071,284","28,573,577,407","23,853,411,937","25,572,614,868","25,589,996,785","27,954,180,672","30,658,357,246","30,304,780,576","30,423,862,378","33,612,660,835","27,829,837,466","29,908,646,412","25,782,212,543","25,797,103,362","25,856,295,588","30,158,618,341","22,348,249,472","18,516,454,534","15,603,755,155","19,607,672,844","23,700,606,370","20,524,990,343","16,308,258,599","12,405,738,194","11,296,432,245","6,238,690,434","4,339,085,996","3,988,660,999","4,295,569,167","3,868,437,460","3,848,001,214","3,200,758,762","3,087,063,512","3,006,934,814","2,890,959,067","3,292,158,576","3,103,824,800","3,485,753,072","3,895,454,598","3,494,821,110","3,040,839,559","2,978,768,987","3,414,737,277","3,063,250,880","2,541,165,588","2,573,412,098","2,929,144,460","3,028,966,209","2,882,369,698","2,639,462,630","2,651,646,810","2,277,562,013","2,287,291,717","2,527,409,893","3,295,253,866","2,036,654,212","1,902,835,586","1,815,495,832","1,856,601,296","2,218,796,835"
EnterpriseValue,"659,423,009,435","659,423,009,435","538,660,456,050","555,874,333,362","473,890,398,964","368,455,400,433","399,015,720,065","417,311,591,155","413,563,480,000","368,879,528,951","353,522,793,730","472,063,720,073","424,079,314,082","314,491,164,725","296,609,757,115","273,500,903,091","311,769,231,713","288,362,224,748","207,964,660,000","167,354,304,910","161,992,034,985","151,629,876,744","152,057,959,577","105,141,000,000","131,371,065,557","124,904,170,000","84,792,730,000","68,544,988,448","65,837,710,681","52,502,692,000","49,558,988,390","52,425,024,214","50,159,972,801","43,335,348,694","51,811,999,021","58,479,488,351","65,391,802,261","61,278,326,060","67,929,960,400","70,676,584,982","66,740,546,663","56,252,469,736","62,545,650,819","60,678,008,952","68,048,113,270","58,162,724,930","58,650,398,021","53,702,697,898","66,697,708,959","67,979,084,070","60,500,402,433","60,080,233,945","62,228,865,464","63,434,645,545","65,904,573,485","59,632,978,329","65,989,362,430","61,664,245,573","56,763,288,165","50,881,740,200","44,151,205,295","40,360,834,926","34,054,248,089","30,141,403,590","29,269,188,998","30,606,467,750","31,561,992,186","36,631,987,727","33,141,075,200","31,620,908,969","33,767,185,192","32,275,230,660","26,864,250,952","26,381,808,000","32,796,662,250","31,406,198,712","28,634,974,440","34,053,026,400","33,203,241,131","34,913,352,424","35,170,570,042","32,776,541,284","29,176,973,407","24,456,807,937","26,176,010,868","25,708,617,785","28,072,801,672","30,776,978,246","30,099,701,576","30,218,783,378","33,407,581,835","27,605,545,466","29,526,380,412","25,399,946,543","25,558,092,362","25,617,284,588","29,919,607,341","22,230,035,472","18,398,240,534","15,485,541,155","19,455,299,844","23,548,233,370","20,372,617,343","16,549,379,599","12,646,859,194","11,537,553,245","6,503,466,434","4,603,861,996","4,253,436,999","4,560,345,167","4,133,213,460","4,236,822,214","3,589,579,762","3,315,482,512","3,235,353,814","3,119,378,067","3,414,487,576","3,226,153,800","3,608,082,072","3,895,275,598","3,494,642,110","3,040,660,559","2,926,429,987","3,362,398,277","3,010,911,880","2,488,826,588","2,388,855,098","2,744,587,460","2,844,409,209","2,884,894,698","2,641,987,630","2,654,171,810","2,250,607,013","2,260,336,717","2,500,454,893","3,256,104,866","1,997,505,212","1,863,686,586","1,814,545,832","1,855,651,296","2,217,846,835"
PeRatio,"1,321.293",,"1,079.087",,,,,,"1,036.256",,,"1,203.671",,,,"691.188",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"5.008",,"5.897",,,,,,,,,,,,
ForwardPeRatio,"172.414",,"140.845",,,,,,"114.943",,,"74.074",,,,"217.391",,,"370.37",,,,"222.222","91.743",,"81.301","95.238",,"71.942","43.29",,,,,"500",,"51.546","52.356","61.35","59.88","62.893",,,,,,,,,,,,,,,,,,,,,"454.546",,,"370.37","128.205",,,"833.333","86.957",,"90.909","85.47",,"156.25","136.986",,"106.383","94.34","88.496","72.993",,"58.14","48.544",,,"65.36",,"64.516","64.935",,"65.79","70.922",,"60.241","60.606","71.429","58.48","133.333",,"147.059","200",,"454.546",,,,,,,,,,,,,,"52.632","45.045",,"50",,,,,,,,,,,,,,,,,,,,
PegRatio,"1.401",,"1.127",,,,,,"1.01",,,"0.678",,,,"2.075",,,"3.473",,,,"2.111","1.049",,"2.324",,,"2.054","1.238",,,,,"14.208",,"1.473","1.496","1.758","1.707","1.795",,,,,,,,,,,,,,,,,,,,,"12.969",,,"10.761","3.655",,,"23.785","2.492",,"2.591","0.87",,"1.666","1.474",,"1.105","0.6","0.555","0.458",,"0.377","0.315",,,"2.731",,"2.694","2.705",,"2.74","2.946",,"2.512","2.518","2.973","2.438","5.581",,"6.162","8.381",,"18.712",,,,,,,,,,,,,,"2.198","1.88",,"1.922",,,,,,,,,,,,,,,,,,,,
PsRatio,"25.104",,"20.502",,,,,,"15.937",,,"18.512",,,,"10.63",,,"7.615",,,,"5.514","3.774",,"4.685","2.998",,"2.257","1.672",,"1.677",,"1.405","1.812",,"2.542","2.439","3.221","3.392","3.265",,"3.719","4.005",,"3.824","4.143",,"4.836","5.352",,"4.665","5.199",,"5.581","5.735","6.411","6.046",,"5.733","5.15","5.872",,"4.415","4.609","5.949","6.182",,"6.483","6.817",,"7.28","6.081",,"8.033","7.707",,"8.436","8.458","9.469","9.545",,"8.802","7.35",,,"9.643",,"12.214","12.263",,"11.284","14.088",,"12.33","12.363","14.52","12.469","10.34",,"13.666","16.522",,"15.948",,"11.611","14.025",,"9.048","9.744","8.798","24.274","20.191",,"19.399","18.651",,"16.357","18.37",,"16.422","14.288",,"15.944","14.303","11.878","13.482",,"15.875","19.867",,"18.292","10.379","10.47","11.569","33.265",,"19.212","16.004",,"19.578"
PbRatio,"41.095",,"33.562",,,,,,"41.262",,,"47.205",,,,"27.056",,,"21.933",,,,"15.8","14.648",,"17.799","12.54",,"9.398","7.586",,"7.572",,"7.164","9.004",,"11.283","10.764","12.74","13.349","12.848",,"13.173","11.428",,"10.862","11.777",,"13.676","12.694",,"11.017","10.913",,"11.633","10.823","12.098","11.23",,"9.612","8.503","15.195",,"11.382","11.057","12.129","12.508",,"32.38","30.814",,"28.244","23.275",,"23.994","22.936",,"45.417","44.23","40.967","41.279",,"31.341","26.163",,,"29.177",,"31.822","31.947",,"29.223","32.793",,"38.669","38.758","45.207","39.613","32.821",,"31.152","37.654",,"96.737",,"67.008","50.03",,"31.986","34.447","31.022",,,,"48.331","46.467",,"20.171","22.653",,"15.599","13.572",,"11.61","10.415","8.64","7.385",,"8.693","17.184",,"15.808","11","11.047","12.207","14.984",,"8.652",,,
EnterprisesValueRevenueRatio,"23.404"
EnterprisesValueEBITDARatio,"168.996"
