Time,Open,High,Low,Last,Change,%Chg,Volume,"Open Int"
07/11/2018,53.69,53.69,53.69,53.69,-0.92,-1.68%,1706010,2513828
07/10/2018,54.61,54.61,54.61,54.61,-0.13,-0.24%,1162348,2499172
07/09/2018,54.74,54.74,54.74,54.74,0.06,+0.11%,1041523,2489778
07/06/2018,54.68,54.68,54.68,54.68,0.29,+0.53%,1071992,2480588
07/05/2018,54.39,54.39,54.39,54.39,0.54,+1.00%,1520066,2464057
07/03/2018,53.85,53.85,53.85,53.85,-0.18,-0.33%,1342167,2466531
07/02/2018,54.03,54.03,54.03,54.03,-0.13,-0.24%,1271210,2478333
06/29/2018,54.16,54.16,54.16,54.16,-0.46,-0.84%,1099616,2491138
06/28/2018,54.62,54.62,54.62,54.62,-0.55,-1.00%,1355392,2479039
06/27/2018,55.17,55.17,55.17,55.17,0.01,+0.02%,1487664,2467781
06/26/2018,55.16,55.16,55.16,55.16,0.88,+1.62%,1483778,2423829
06/25/2018,54.28,54.28,54.28,54.28,0.09,+0.17%,1599731,2403349
06/22/2018,54.19,54.19,54.19,54.19,1.11,+2.09%,2432185,2419733
06/21/2018,53.08,53.08,53.08,53.08,-0.19,-0.36%,1551989,2451560
06/20/2018,53.27,53.27,53.27,53.27,-0.05,-0.09%,1283279,2459918
06/19/2018,53.32,53.32,53.32,53.32,-0.3,-0.56%,1032631,2458404
06/18/2018,53.62,53.62,53.62,53.62,0.78,+1.48%,1130222,2508601
06/15/2018,52.84,52.84,52.84,52.84,-1.37,-2.53%,1389982,2536480
06/14/2018,54.21,54.21,54.21,54.21,-1.15,-2.08%,1139190,2548321
06/13/2018,55.36,55.36,55.36,55.36,1.07,+1.97%,1277061,2538936
06/12/2018,54.29,54.29,54.29,54.29,-0.2,-0.37%,1035204,2524439
06/11/2018,54.49,54.49,54.49,54.49,0.28,+0.52%,1030054,2521984
06/08/2018,54.21,54.21,54.21,54.21,0.23,+0.43%,1142430,2520940
06/07/2018,53.98,53.98,53.98,53.98,0.55,+1.03%,1413631,2551692
06/06/2018,53.43,53.43,53.43,53.43,-0.41,-0.76%,1262640,2545587
06/05/2018,53.84,53.84,53.84,53.84,0.08,+0.15%,1394281,2546827
06/04/2018,53.76,53.76,53.76,53.76,-0.43,-0.79%,1349394,2539191
06/01/2018,54.19,54.19,54.19,54.19,1.06,+2.00%,1656602,2587923
05/31/2018,53.13,53.13,53.13,53.13,0.08,+0.15%,1705457,2625957
05/30/2018,53.05,53.05,53.05,53.05,0.3,+0.57%,1261490,2638610
05/29/2018,52.75,52.75,52.75,52.75,0.02,+0.04%,1694846,2620926
05/25/2018,52.73,52.73,52.73,52.73,-0.96,-1.79%,1709587,2632315
05/24/2018,53.69,53.69,53.69,53.69,-0.23,-0.43%,1069556,2655091
05/23/2018,53.92,53.92,53.92,53.92,-0.55,-1.01%,1252046,2641141
05/22/2018,54.47,54.47,54.47,54.47,-0.27,-0.49%,1292386,2638408
05/21/2018,54.74,54.74,54.74,54.74,0.51,+0.94%,1099397,2641241
05/18/2018,54.23,54.23,54.23,54.23,0.19,+0.35%,1089706,2658315
05/17/2018,54.04,54.04,54.04,54.04,0.62,+1.16%,1531313,2659819
05/16/2018,53.42,53.42,53.42,53.42,-0.07,-0.13%,1327746,2713986
05/15/2018,53.49,53.49,53.49,53.49,0.47,+0.89%,1805032,2706454
05/14/2018,53.02,53.02,53.02,53.02,0.33,+0.63%,1215405,2680287
05/11/2018,52.69,52.69,52.69,52.69,0.19,+0.36%,1255825,2706686
05/10/2018,52.5,52.5,52.5,52.5,0.35,+0.67%,1345300,2694428
05/09/2018,52.15,52.15,52.15,52.15,0.95,+1.86%,1663486,2676256
05/08/2018,51.2,51.2,51.2,51.2,-0.46,-0.89%,2115382,2658229
05/07/2018,51.66,51.66,51.66,51.66,0.33,+0.64%,1386945,2686536
05/04/2018,51.33,51.33,51.33,51.33,0.67,+1.32%,1202307,2695178
05/03/2018,50.66,50.66,50.66,50.66,0.45,+0.90%,1268094,2679593
05/02/2018,50.21,50.21,50.21,50.21,-0.05,-0.10%,1433058,2643779
05/01/2018,50.26,50.26,50.26,50.26,-0.29,-0.57%,1194404,2621768
04/30/2018,50.55,50.55,50.55,50.55,0.16,+0.32%,1388909,2635063
04/27/2018,50.39,50.39,50.39,50.39,-0.34,-0.67%,927582,2638303
04/26/2018,50.73,50.73,50.73,50.73,0.03,+0.06%,1197794,2630989
04/25/2018,50.7,50.7,50.7,50.7,0.03,+0.06%,1274381,2597874
04/24/2018,50.67,50.67,50.67,50.67,-0.44,-0.86%,1478857,2574820
04/23/2018,51.11,51.11,51.11,51.11,0.33,+0.65%,1384486,2564936
04/20/2018,50.78,50.78,50.78,50.78,-0.02,-0.04%,1116135,2562051
04/19/2018,50.8,50.8,50.8,50.8,0.18,+0.36%,1519806,2598362
04/18/2018,50.62,50.62,50.62,50.62,-0.09,-0.18%,1478871,2616362
04/17/2018,50.71,50.71,50.71,50.71,-0.05,-0.10%,1314171,2596578
04/16/2018,50.76,50.76,50.76,50.76,-0.03,-0.06%,1266169,2605000
04/13/2018,50.79,50.79,50.79,50.79,-0.07,-0.14%,1378834,2609563
04/12/2018,50.86,50.86,50.86,50.86,-0.33,-0.64%,1370398,2565785
04/11/2018,51.19,51.19,51.19,51.19,0.3,+0.59%,2093741,2534391
04/10/2018,50.89,50.89,50.89,50.89,0.29,+0.57%,1788317,2480033
04/09/2018,50.6,50.6,50.6,50.6,0.15,+0.30%,1279932,2469396
04/06/2018,50.45,50.45,50.45,50.45,-0.7,-1.37%,1466267,2499221
04/05/2018,51.15,51.15,51.15,51.15,0.15,+0.29%,1077685,2522714
04/04/2018,51,51,51,51,-0.03,-0.06%,1319181,2542709
04/03/2018,51.03,51.03,51.03,51.03,0.38,+0.75%,880962,2547337
04/02/2018,50.65,50.65,50.65,50.65,-0.94,-1.82%,940753,2532289
03/29/2018,51.59,51.59,51.59,51.59,-0.22,-0.42%,961850,2521210
03/28/2018,51.81,51.81,51.81,51.81,-0.02,-0.04%,1156249,2509804
03/27/2018,51.83,51.83,51.83,51.83,0,0.00%,1132857,2513575
03/26/2018,51.83,51.83,51.83,51.83,-0.19,-0.37%,927759,2483359
03/23/2018,52.02,52.02,52.02,52.02,0.41,+0.79%,1271363,2469551
03/22/2018,51.61,51.61,51.61,51.61,-0.4,-0.77%,1281737,2436690
03/21/2018,52.01,52.01,52.01,52.01,0.71,+1.38%,1394054,2436499
03/20/2018,51.3,51.3,51.3,51.3,0.16,+0.31%,1126655,2386095
03/19/2018,51.14,51.14,51.14,51.14,-0.41,-0.80%,911452,2376271
03/16/2018,51.55,51.55,51.55,51.55,-0.02,-0.04%,934479,2401800
03/15/2018,51.57,51.57,51.57,51.57,-0.21,-0.41%,983322,2381898
03/14/2018,51.78,51.78,51.78,51.78,0.14,+0.27%,1250355,2401740
03/13/2018,51.64,51.64,51.64,51.64,-0.11,-0.21%,1480803,2403162
03/12/2018,51.75,51.75,51.75,51.75,-0.1,-0.19%,1024381,2428425
03/09/2018,51.85,51.85,51.85,51.85,0.97,+1.91%,1420169,2432754
03/08/2018,50.88,50.88,50.88,50.88,0.01,+0.02%,1615637,2446518
03/07/2018,50.87,50.87,50.87,50.87,-0.6,-1.17%,1558043,2461343
03/06/2018,51.47,51.47,51.47,51.47,0.07,+0.14%,1120554,2451492
